sifra,Municipality,Municipality2,District,Ballots,Empty.Ballots,Other.Invalid.Ballots,Numvoters,p00090,p00008,p02321,p00001,p02328,p00004,p01698,p01182,p02385,p00877,p02402,p02373,p00036,p00513,p02399,p01276,p02401,p02325,p02323,p01728,p02368,p00521,p01718,p01178,p01705,pNA,p02403,p02317,p02382,p02391,p02395,p02314,p01699,p01701,p00028,p02375,p00502,p00769,p02383,p02311,p00017,p01200,p02384,p01703,p02322,p00734,p01714,p02353,p02358,p02388,p01270,p02389,p02398,p01188,p01290,p02400,p02396,p02355,p02360,p02361,p02072,p02354,p02390,p02392,p02376,p00882,p02387,p01989,p01723,p02347,p02397,p02291,p02359,p01706,p02349,Entity,Election
079,ŽIVINICE,Å½IVINICE (079),KANTON 3,27915,856,1189,53921,35.78,14.9,11.87,7.03,6.63,5.55,4.95,4.65,2.46,1.41,1.16,1.12,0.82,0.66,0.52,0.09,0.09,0.08,0.07,0.06,0.03,0.03,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
116,VISOKO,VISOKO (116),KANTON 4,17593,801,953,33885,29.67,13.07,1.02,6.14,2.7,1.5,10.72,11.35,0,4.63,0.22,6.66,0.58,3.17,0,0.15,0,0.2,0,0.08,0.07,0,0.04,0,0,0,6.84,0.58,0.48,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
114,FOJNICA,FOJNICA (114),KANTON 6,5719,284,325,10132,37.14,17.57,0.1,0,0.12,2.33,4.48,8.53,0,0,0.19,1,0.12,0.56,0,0.07,0,0.16,0,0.05,0.02,0,0.02,0,0,0,0,0,20.13,0,4.6,2.73,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
080,KALESIJA,KALESIJA (080),KANTON 3,14114,592,826,32576,28.95,24.14,16.95,5.44,7.19,1.38,4.44,4.02,0.05,0.54,0.98,3.37,0.72,1.13,0.42,0.06,0.01,0.05,0.06,0.08,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
117,BREZA,BREZA (117),KANTON 4,6016,388,422,11357,29.27,12.97,0.96,1.96,1.26,2.73,7.6,22.21,0,1.56,0.93,5.1,0.42,4.92,0,0.33,0,0.2,0,0.1,0.08,0,0.03,0,0,0,5.5,1.25,0.47,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
115,KISELJAK,KISELJAK (115),KANTON 6,8533,338,331,16920,24.35,7.57,0.09,0,0.05,0.91,3.82,3.27,0,0,0.25,0.94,0.14,0.54,0,0.12,0,0.13,0,0.02,0.12,0,0.01,0,0,0,0,0,50.94,0,5.64,1.05,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
082,SAPNA,SAPNA (082),KANTON 3,4768,87,104,9976,15.92,3.4,57.7,0.21,0.31,18.35,2.89,0.1,0.02,0.08,0.13,0.52,0.13,0.06,0.04,0,0,0.04,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
183,USORA,USORA (183),KANTON 4,1554,72,50,5672,5.47,2.38,0,0,0,0.26,0.97,0.51,0,0.32,0,0.06,0,0.19,0,0.06,0,0,0,0.13,0,0,0,0,0,0,2.12,0.06,81.6,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
129,KREŠEVO,KREÅ EVO (129),KANTON 6,2322,126,133,4278,13.31,8.05,0.04,0,0,0.3,1.64,0.78,0,0,0.73,0.34,0.13,0.52,0,0.13,0,0.04,0,0,0,0,0,0,0,0,0,0,66.97,0,6.76,0.22,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
098,KLADANJ,KLADANJ (098),KANTON 3,5668,242,281,11415,18.79,12.24,28.32,6.99,1.32,16.3,4.82,3.46,0,2.15,0.85,1.43,0.48,0.37,1.96,0.12,0,0.11,0.21,0.05,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
